WHOLE "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=1 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=2 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=3 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=4 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=5 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
DIFF offset=6 "👨"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=7 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=8 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=9 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=10 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=11 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=12 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
DIFF offset=13 "👨‍"/2 . "👩"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=14 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=15 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=16 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=17 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=18 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=19 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
DIFF offset=20 "👨‍"/2 . "👩‍"/2 . "👧"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=21 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=22 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=23 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
ok   offset=24 "👨‍"/2 . "👩‍"/2 . "👧‍"/2 . "👦"/2 . . . . . . . . . . . . . cursor_x=8
